冰魄银针	1227895626	1093678913	 "江湖武学"	0	10	0	0	14	15
弹指神通	1227895624	1093678664	 "江湖武学"	14	12	18	0	0	0
斗转星移	1227895382	1093678929	 "江湖内功"	0	12	0	18	0	14
化功大法	1227895381	1093678928	 "江湖内功"	17	0	0	22	0	0
化骨绵掌	1227895623	1093678668	 "江湖武学"	0	0	0	15	10	12
九阳神功	1227895386	1093682254	 "江湖内功"	17	14	18	0	0	0
九阴真经·内功	1227895384	1093678931	 "九阴内功"	0	17	17	17	20	0
九阴白骨爪	1227895625	1093678926	 "九阴武学"	13	0	12	12	16	0
葵花宝典	1227895385	1093678932	 "江湖内功"	22	20	0	17	0	0
连城剑法	1227895627	1093678666	 "江湖武学"	14	0	0	16	20	0
罗汉伏魔功	1227895620	1093678927	 "江湖内功"	0	16	0	0	0	16
七伤拳	1227895628	1093678925	 "江湖武学"	0	14	14	14	14	0
乾坤大挪移	1227895600	1093678935	 "江湖内功"	0	0	0	23	18	17
双手互搏	1227895601	1093678933	 "江湖内功"	18	20	16	0	0	0
四门刀法	1227895621	1093678669	 "江湖武学"	0	0	18	18	0	0
唐诗剑法	1227895603	1093678897	 "江湖武学"	0	12	0	16	0	11
吸星大法	1227895383	1093678930	 "江湖内功"	0	0	0	14	12	11
一阳指	1227895622	1093678672	 "江湖武学"	0	0	22	17	15	0
真·黯然销魂掌	1227895609	1093678919	 "绝世武学"	18	21	27	0	0	0
真·打狗棒法	1227895604	1093678924	 "绝世武学"	20	0	26	18	0	0
真·独孤九剑奥义	1227895608	1093678918	 "绝世武学"	0	19	0	22	28	0
真·反两仪刀法	1227895607	1093678920	 "绝世武学"	17	25	0	0	17	0
真·胡家刀法	1227895618	1093679158	 "绝世武学"	0	23	20	0	29	0
真·降龙十八掌	1227895602	1093678917	 "绝世武学"	24	0	30	24	0	0
真·六脉神剑	1227895605	1093679157	 "绝世武学"	0	0	0	24	19	16
真·辟邪剑法	1227895606	1093678922	 "绝世武学"	23	0	0	18	0	16
真·西毒棍法	1227895619	1093679161	 "绝世武学"	23	0	0	20	22	0
真·野球拳	1227895617	1093678921	 "绝世武学"	25	0	25	25	20	0
真·北冥神功	1227895635	1093679154	 "绝世内功"	22	32	0	22	0	25
真·蛤蟆功	1227895631	1093679156	 "绝世内功"	28	19	0	28	0	0
真·龙象般若功	1227895636	1395666994	 "绝世内功"	20	0	29	0	0	23
真·神照经	1227895633	1093678936	 "绝世内功"	0	23	31	33	0	0
真·太玄经	1227895629	1093682232	 "绝世内功"	28	24	0	33	0	30
真·洗髓经	1227895632	1093679152	 "绝世内功"	25	0	0	32	22	32
真·小无相功	1227895637	1093679155	 "绝世内功"	0	24	0	30	24	21
真·易筋经	1227895634	1093679428	 "绝世内功"	0	30	0	27	34	23
逆九阴真经·内功	1227897159	1093682226	 "九阴内功"	0	17	17	17	20	0
九阴真经·医疗篇	1227897160	1093682228	 "九阴内功"	0	17	17	17	20	0
九阴真经·易筋锻骨篇	1227897161	1093682230	 "九阴内功"	0	17	17	17	20	0
摧坚神抓	1227897162	1093682225	 "九阴武学"	13	0	12	12	16	0
摧心掌	1227897163	1093682227	 "九阴武学"	13	0	12	12	16	0
神行百变	1227899698	1093677902	 "奇武"	0	0	0	15	14	16
无相劫指	1227899699	1093677904	 "奇武"	0	18	26	0	0	16
寒冰真气	1227899700	1093677900	 "奇武"	12	14	16	0	0	0
百胜神拳	1227899701	1093677905	 "奇武"	17	0	0	0	20	0
妙手空空	1227899702	1093677903	 "奇武"	14	15	16	0	0	12
龟息功	1227899704	1093681989	 "奇武"	12	0	0	0	18	0
须弥山掌	1227899705	1093677908	 "奇武"	14	17	0	16	0	0
珍珑棋局	1227899713	1093677909	 "奇武"	0	0	0	20	0	0
药王神篇	1227899714	1093677911	 "奇武"	0	0	0	14	14	0
擒龙控鹤	1227899715	1093677910	 "奇武"	0	0	0	0	15	12
枯荣禅功	1227899716	1093677914	 "奇武"	13	17	16	0	0	0
夫妻刀法	1227899722	1093678166	 "奇武"	15	0	16	0	17	0
寿木长生功	1227899732	1093678657	 "奇武"	15	0	15	15	15	0
黄沙万里鞭法	1227899733	1093678658	 "奇武"	20	20	0	18	0	0
九阳真经散篇	1227899734	1093678675	 "奇武"	0	0	0	25	0	25
